,id,station_name,line,station_url
1,1,Sentul Timur,Ampang,"https://www.google.com/maps/place/Sentul+Timur+(AG1%2FSP1)/@3.1859317,101.6927778,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc480f54dfc287:0x8f8579d617f532a!8m2!3d3.1859317!4d101.6953527!16s%2Fm%2F0266dzv?entry=ttu"
2,2,Sentul,Ampang,"https://www.google.com/maps/place/Sentul/@3.1785138,101.6935548,17.25z/data=!4m6!3m5!1s0x31cc481a800ccf6b:0xe273e6adfb110a7a!8m2!3d3.1783351!4d101.695587!16s%2Fg%2F11h5lkwtlt?entry=ttu"
3,3,Titiwangsa,Ampang,"https://www.google.com/maps/place/Titiwangsa/@3.1734861,101.6950282,19.25z/data=!4m15!1m8!3m7!1s0x31cc481780306ef3:0x90b1090dd1e3eaeb!2sLrt+Station+Titiwangsa,+53000+Kuala+Lumpur,+Wilayah+Persekutuan+Kuala+Lumpur!3b1!8m2!3d3.1735079!4d101.6953101!16s%2Fg%2F12hnrxgh5!3m5!1s0x31cc48178066fed7:0x2f205a7a3a66240c!8m2!3d3.1735082!4d101.6953433!16s%2Fm%2F0264ksb?entry=ttu"
4,4,PWTC,Ampang,"https://www.google.com/maps/place/PWTC/@3.1665923,101.6936275,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc483c9c046049:0x68b40ecd820ea1b5!8m2!3d3.1665923!4d101.6936275!16s%2Fm%2F026cbkw?entry=ttu"
5,5,Sultan Ismail,Ampang,"https://www.google.com/maps/place/Sultan+Ismail/@3.16124,101.6915351,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc48300b26048b:0x895001f6e78a997c!8m2!3d3.16124!4d101.69411!16s%2Fm%2F026mhkk?entry=ttu"
6,6,Bandaraya,Ampang,"https://www.google.com/maps/place/Bandaraya/@3.1555429,101.6918002,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc483213d558c9:0xe2f9aafac9ae2ef0!8m2!3d3.1555429!4d101.6943751!16s%2Fg%2F1hc1nvkbw?entry=ttu"
7,8,Plaza Rakyat,Ampang,"https://www.google.com/maps/place/Plaza+Rakyat/@3.14405,101.6995251,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc49d6d1d419a5:0x3c9dc274afb7ba67!8m2!3d3.14405!4d101.7021!16s%2Fm%2F026fqy3?entry=ttu"
8,9,Hang Tuah,Ampang,"https://www.google.com/maps/place/Hang+Tuah/@3.1397764,101.7036962,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc49d86dcfffe1:0x698a4bdc186506be!8m2!3d3.1397764!4d101.7062711!16s%2Fg%2F11c5_cl7y0?entry=ttu"
9,10,Pudu,Ampang,"https://www.google.com/maps/place/Pudu/@3.13488,101.7093851,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc3621635018b7:0x6333ee7ef464ce80!8m2!3d3.13488!4d101.71196!16s%2Fm%2F0264fv1?entry=ttu"
10,11,Chan Sow Lin,Ampang,"https://www.google.com/maps/place/Chan+Sow+Lin/@3.1278462,101.7130145,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc36199e8b218d:0x3c65b8908d6c2ea4!8m2!3d3.1278462!4d101.7155894!16s%2Fm%2F0265wkk?entry=ttu"
11,12,Miharja,Ampang,"https://www.google.com/maps/place/Miharja/@3.1209302,101.7153123,17z/data=!3m1!4b1!4m15!1m8!3m7!1s0x31cc360559f8d957:0x8650905a864da725!2sMiharja+LRT+station,+Taman+Miharja,+55200+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur!3b1!8m2!3d3.1209905!4d101.7178829!16s%2Fm%2F026mhs2!3m5!1s0x31cc360558e70e83:0xe8674416ea5586cd!8m2!3d3.1209302!4d101.7178872!16s%2Fg%2F1tdms3l3?entry=ttu"
12,13,Maluri,Ampang,"https://www.google.com/maps/place/Maluri/@3.1233637,101.7245684,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc3612e428eb83:0x1271221e0407a799!8m2!3d3.1233637!4d101.7271433!16s%2Fg%2F11bwc_z146?entry=ttu"
13,14,Pandan Jaya,Ampang,"https://www.google.com/maps/place/Pandan+Jaya/@3.1302401,101.7363835,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc36683952bf0b:0x42b88a446f3a3ac9!8m2!3d3.1302401!4d101.7389584!16s%2Fm%2F026frgn?entry=ttu"
14,15,Pandan Indah,Ampang,"https://www.google.com/maps/place/Pandan+Indah/@3.1346839,101.7456384,18.5z/data=!4m6!3m5!1s0x31cc365e9e576bfb:0xe9eaa481f7a4d796!8m2!3d3.1347195!4d101.7467141!16s%2Fm%2F026g6fh?entry=ttu"
15,16,Cempaka,Ampang,"https://www.google.com/maps/place/LRT+Cempaka/@3.1383159,101.7505053,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x31cc36f7cd532103:0x1da053724ebe9afa!2sCempaka+(AG16)!8m2!3d3.1384812!4d101.7530362!16s%2Fg%2F11h5ll0k3h!3m5!1s0x31cc36f62dbb3147:0x81462692b43d297b!8m2!3d3.1383159!4d101.7530802!16s%2Fg%2F1txnlz6x?entry=ttu"
16,17,Cahaya,Ampang,"https://www.google.com/maps/place/Cahaya/@3.1407776,101.7558283,19z/data=!4m6!3m5!1s0x31cc36f75dc571cb:0xa60b610a1afc8fff!8m2!3d3.1405993!4d101.756602!16s%2Fg%2F1tfbvz35?entry=ttu"
17,18,Ampang,Ampang,"https://www.google.com/maps/place/Ampang/@3.1501823,101.7584388,18z/data=!4m14!1m7!3m6!1s0x31cc36fd88631cf9:0xf9214dfb7cfc3596!2sLRT+Ampang!8m2!3d3.1504876!4d101.7603647!16s%2Fg%2F11cp5fjxqs!3m5!1s0x31cc36fd888a0053:0x67169fcd7c72af1f!8m2!3d3.15032!4d101.76005!16s%2Fm%2F026mhxk?entry=ttu"
18,19,Sentul Timur,Sri Petaling,"https://www.google.com/maps/place/Sentul+Timur+(AG1%2FSP1)/@3.1859317,101.6927778,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc480f54dfc287:0x8f8579d617f532a!8m2!3d3.1859317!4d101.6953527!16s%2Fm%2F0266dzv?entry=ttu"
19,20,Sentul,Sri Petaling,"https://www.google.com/maps/place/Sentul/@3.1785138,101.6935548,17.25z/data=!4m6!3m5!1s0x31cc481a800ccf6b:0xe273e6adfb110a7a!8m2!3d3.1783351!4d101.695587!16s%2Fg%2F11h5lkwtlt?entry=ttu"
20,21,Titiwangsa,Sri Petaling,"https://www.google.com/maps/place/Titiwangsa/@3.1734861,101.6950282,19.25z/data=!4m15!1m8!3m7!1s0x31cc481780306ef3:0x90b1090dd1e3eaeb!2sLrt+Station+Titiwangsa,+53000+Kuala+Lumpur,+Wilayah+Persekutuan+Kuala+Lumpur!3b1!8m2!3d3.1735079!4d101.6953101!16s%2Fg%2F12hnrxgh5!3m5!1s0x31cc48178066fed7:0x2f205a7a3a66240c!8m2!3d3.1735082!4d101.6953433!16s%2Fm%2F0264ksb?entry=ttu"
21,22,PWTC,Sri Petaling,"https://www.google.com/maps/place/PWTC/@3.1665923,101.6936275,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc483c9c046049:0x68b40ecd820ea1b5!8m2!3d3.1665923!4d101.6936275!16s%2Fm%2F026cbkw?entry=ttu"
22,23,Sultan Ismail,Sri Petaling,"https://www.google.com/maps/place/Sultan+Ismail/@3.16124,101.6915351,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc48300b26048b:0x895001f6e78a997c!8m2!3d3.16124!4d101.69411!16s%2Fm%2F026mhkk?entry=ttu"
23,24,Bandaraya,Sri Petaling,"https://www.google.com/maps/place/Bandaraya/@3.1555429,101.6918002,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc483213d558c9:0xe2f9aafac9ae2ef0!8m2!3d3.1555429!4d101.6943751!16s%2Fg%2F1hc1nvkbw?entry=ttu"
24,26,Plaza Rakyat,Sri Petaling,"https://www.google.com/maps/place/Plaza+Rakyat/@3.14405,101.6995251,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc49d6d1d419a5:0x3c9dc274afb7ba67!8m2!3d3.14405!4d101.7021!16s%2Fm%2F026fqy3?entry=ttu"
25,27,Hang Tuah,Sri Petaling,"https://www.google.com/maps/place/Hang+Tuah/@3.1397764,101.7036962,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc49d86dcfffe1:0x698a4bdc186506be!8m2!3d3.1397764!4d101.7062711!16s%2Fg%2F11c5_cl7y0?entry=ttu"
26,28,Pudu,Sri Petaling,"https://www.google.com/maps/place/Pudu/@3.13488,101.7093851,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc3621635018b7:0x6333ee7ef464ce80!8m2!3d3.13488!4d101.71196!16s%2Fm%2F0264fv1?entry=ttu"
27,29,Chan Sow Lin,Sri Petaling,"https://www.google.com/maps/place/Chan+Sow+Lin/@3.1278462,101.7130145,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc36199e8b218d:0x3c65b8908d6c2ea4!8m2!3d3.1278462!4d101.7155894!16s%2Fm%2F0265wkk?entry=ttu"
28,30,Cheras,Sri Petaling,"https://www.google.com/maps/place/LRT+Cheras/@3.1123145,101.7123088,17.25z/data=!4m15!1m8!3m7!1s0x31cc3607692e7703:0xef2e985deb23b087!2sCheras+LRT+station,+Taman+Ikan+Emas,+57100+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur!3b1!8m2!3d3.1125996!4d101.7142131!16s%2Fm%2F026mhl7!3m5!1s0x31cc3607651a4573:0x55128edef01ae7e6!8m2!3d3.112397!4d101.714539!16s%2Fg%2F11fmbc_hl2?entry=ttu"
29,31,Salak Selatan,Sri Petaling,"https://www.google.com/maps/place/Salak+Selatan/@3.1020978,101.7037712,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4a0805c6800d:0x1292be2f774977ae!8m2!3d3.1020978!4d101.7063461!16s%2Fm%2F026mhmm?entry=ttu"
30,32,Bandar Tun Razak,Sri Petaling,"https://www.google.com/maps/place/Bandar+Tun+Razak/@3.0896481,101.7098643,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc358c80963255:0xb62443244d54cdc6!8m2!3d3.0896481!4d101.7124392!16s%2Fm%2F026mhn9?entry=ttu"
