Station ID,Station Name,Status
1,,
2,Sentul,Not busy
3,Titiwangsa,Not busy
4,PWTC,Not too busy
5,Sultan Ismail,Not busy
6,Bandaraya,Not busy
8,Plaza Rakyat,Not busy
9,Hang Tuah,Not busy
10,Pudu,Not busy
11,Chan Sow Lin,Not busy
12,,
13,Maluri,Not busy
14,Pandan Jaya,Not too busy
15,,
16,LRT Cempaka,Not busy
17,,
18,Ampang,Not busy
19,Sentul Timur (AG1/SP1),Not too busy
20,Sentul,Not busy
21,Titiwangsa,Not busy
22,PWTC,Not too busy
23,Sultan Ismail,Not busy
24,Bandaraya,Not busy
26,Plaza Rakyat,Not busy
27,Hang Tuah,Not busy
28,Pudu,Not busy
29,Chan Sow Lin,Not busy
30,,
31,Salak Selatan,Not busy
32,Bandar Tun Razak,Not busy
33,Bandar Tasik Selatan,Not busy
34,Sungai Besi,Not busy
35,Bukit Jalil (SP17),Not busy
36,,
37,Awan Besar,Not busy
38,Muhibbah,Not too busy
39,Alam Sutera,Not too busy
40,Kinrara Bk5,Not busy
41,IOI Puchong Jaya,Not busy
42,,
43,Taman Perindustrian Puchong,Not busy
44,Bandar Puteri,Not busy
45,Puchong Perdana,Not busy
46,Puchong Prima,Busier than usual
47,Putra Heights,Not busy
48,Gombak,Not busy
49,Taman Melati,Not too busy
50,Wangsa Maju,Not busy
51,Sri Rampai,Not busy
52,Setiawangsa LRT station,Busier than usual
53,Jelatek,Not busy
54,KL2311 LRT Dato' Keramat,Busier than usual
55,,
56,,
57,KLCC LRT Station,Not busy
58,Kampung Baru,Not too busy
59,Dang Wangi,Not busy
61,Pasar Seni,Not busy
62,KL Sentral,Not busy
63,Bangsar,Not busy
64,Abdullah Hukum,Not busy
65,Kerinchi (KJ18),Not busy
66,,
67,Taman Jaya,Not busy
68,Asia Jaya,Not busy
69,,
70,Taman Bahagia,Not busy
71,Kelana Jaya (KJ24),Not busy
72,Lembah Subang,Not busy
73,,
74,CGC–Glenmarie (KJ27),Not busy
75,Subang Jaya,Not busy
76,SS 15,Not busy
77,SS18,Not too busy
78,USJ7,Not busy
79,,
80,Wawasan,Not busy
81,USJ21,Not busy
82,Alam Megah,Not busy
83,,
84,Putra Heights,Not busy
85,,
86,Kampung Selamat (SBK02),Not busy
87,Sungai Buloh,Not busy
88,,
89,Sri Damansara Barat,Not busy
90,Sri Damansara Sentral,Busier than usual
91,Sri Damansara Timur,Not too busy
92,Metro Prima,Not busy
93,Kepong Baru,Not busy
94,Jinjang,Busier than usual
95,Sri Delima,Not busy
96,,
97,Kentomen,Not busy
98,,
99,Sentul Barat,Not busy
100,MRT Titiwangsa Station,Not busy
101,Hospital Kuala Lumpur,Not busy
102,Raja Uda,Not too busy
103,Ampang Park,Not busy
104,Persiaran KLCC,Not busy
105,Conlay,Not busy
106,Tun Razak Exchange,Not busy
107,,
110,Kuchai,Not busy
111,Taman Naga Emas,Not busy
112,,
113,Serdang Raya Utara,Not busy
114,Serdang Raya Selatan,Not too busy
115,Serdang Jaya,Not busy
116,UPM,Not busy
117,,
118,,
119,,
120,Cyberjaya Utara,Not busy
121,Cyberjaya City Centre,Not busy
122,Putrajaya Sentral,Not busy
123,Kwasa Sentral,Not busy
124,,
125,Surian,Not busy
126,Mutiara Damansara,Not busy
127,Bandar Utama,Not too busy
128,Taman Tun Dr Ismail,Not busy
129,,
130,Pusat Bandar Damansara,Not busy
131,MRT Semantan,Not busy
132,,
133,Pasar Seni,Not busy
134,Merdeka,Not busy
135,Bukit Bintang,Not busy
136,Tun Razak Exchange,Not busy
137,Cochrane,Not busy
138,,
139,Taman Pertama,Not busy
140,,
141,Taman Mutiara,Not busy
142,Taman Connaught,Not busy
143,Taman Suntex,Not busy
144,,
145,,
146,Batu 11 Cheras,Not busy
147,,
148,,
149,Stadium Kajang,Not busy
150,Kajang,Not busy
151,,
152,KL Sentral,Not busy
153,Tun Sambanthan,Not busy
154,,
155,Hang Tuah,Not busy
156,Imbi,Not busy
157,Bukit Bintang,Not busy
158,Raja Chulan,Not busy
159,Bukit Nanas,Not busy
160,Stesen Monorel Medan Tuanku,Not too busy
161,Chow Kit,Not busy
162,,
7,Masjid Jamek,Not busy
25,Masjid Jamek,Not busy
60,Masjid Jamek,Not busy
